ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3807,0.0084,9.9515,-0.3429,0.0094,9.8039,-0.0377,-0.001,0.1476,-0.0687,0.0296,0.0288,22.0,-17.15,18.2,-39.7,45.55,-0.06,2.0,3.1,960.9,42.6,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,7,2018-06-18 23:00:48:155
-0.4771,-0.0671,10.0196,-0.4551,-0.0678,9.7991,-0.0383,0.0055,0.2533,-0.0115,0.0107,-0.0043,21.0,-15.5,17.85,-40.35,43.53,0.4,2.66,3.1,960.82,42.192,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,507,2018-06-18 23:00:48:655
-0.31,-0.4401,10.0347,-0.4669,-0.3675,9.7919,0.1569,-0.0726,0.2428,-0.2037,0.0756,-0.037,20.0,-15.6,18.7,-40.15,44.08,0.72,2.74,3.1,960.85,42.653,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,1011,2018-06-18 23:00:49:159
-0.3506,-0.677,9.4967,0.1422,-0.3525,9.8025,-0.4928,-0.3245,-0.3058,-0.5127,-0.1734,-0.0762,52.0,-14.8,18.1,-40.7,41.11,2.06,-0.83,3.1,960.87,42.339,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,1507,2018-06-18 23:00:49:655
-1.7009,0.1587,9.5687,-1.6428,0.3905,9.6635,-0.0581,-0.2319,-0.0948,0.2578,0.4858,0.9374,13.0,-13.35,19.3,-40.3,43.64,-2.28,9.65,3.1,960.81,43.595,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,2006,2018-06-18 23:00:50:154
-0.4732,1.1743,9.9381,0.2958,1.7148,9.6543,-0.3934,-0.3735,0.3013,0.0868,-0.0535,0.3313,17.0,-6.95,17.85,-41.7,15.51,-8.12,-0.55,3.1,960.85,43.259,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,2506,2018-06-18 23:00:50:654
0.4696,1.6121,9.7754,0.8004,1.3098,9.6891,0.1148,-0.0097,0.3771,0.0474,-0.11,0.9507,20.0,-4.05,13.4,-42.0,1.64,-7.67,-4.72,3.1,960.82,42.797,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,3006,2018-06-18 23:00:51:154
0.7252,0.7887,9.8337,0.71,1.4872,9.6705,0.0557,-0.7297,0.0862,-0.0509,0.017,0.7302,4.0,-0.65,13.7,-40.9,354.29,-8.72,-4.2,3.1,960.82,43.269,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,3510,2018-06-18 23:00:51:658
0.7425,0.8758,10.0603,0.7667,1.0375,9.7247,-0.0242,-0.1617,0.3356,0.0101,0.0328,0.7505,15.0,3.65,9.65,-42.05,333.05,-6.07,-4.51,3.1,960.85,42.379,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,4009,2018-06-18 23:00:52:157
1.4018,0.9245,9.3591,1.3991,0.6476,9.688,0.0127,0.1376,0.1949,-0.1286,-0.0304,0.0357,15.0,6.05,4.05,-42.8,299.16,-3.78,-8.22,3.1,960.82,42.708,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,4507,2018-06-18 23:00:52:655
5.5229,-0.7709,10.8735,4.4851,-0.6467,8.7005,0.8824,0.0594,2.3715,-0.2437,-0.1241,0.249,20.0,1.95,3.55,-42.8,274.08,3.78,-27.27,3.1,960.88,40.632,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,5010,2018-06-18 23:00:53:158
5.2824,-2.1986,7.5904,6.2675,-2.5112,7.1167,-0.6131,-0.316,-0.021,-0.6224,-0.9526,0.29,28.0,-8.9,9.35,-41.95,267.57,14.83,-41.37,3.1,960.76,41.985,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,5507,2018-06-18 23:00:53:655
7.8311,-5.0071,3.9834,6.8908,-3.8913,5.7974,-0.7703,0.4853,0.4058,-0.1712,-1.1396,0.8629,129.0,-14.05,15.6,-39.45,271.32,23.37,-49.92,3.1,960.88,42.844,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,6007,2018-06-18 23:00:54:155
6.9602,-5.6314,3.4143,8.0103,-4.4799,3.4641,-1.0501,-1.1516,-0.0498,0.7619,-0.4615,0.4027,3.0,-31.75,25.9,-27.2,291.77,27.17,-66.61,3.1,960.91,42.26,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,6506,2018-06-18 23:00:54:654
7.7892,-5.3454,3.009,7.8893,-5.0819,2.858,-0.1001,-0.2635,0.151,0.5814,-0.5723,0.0546,3.0,-37.85,22.05,-24.15,238.87,32.47,-68.62,3.1,960.95,44.049,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,7007,2018-06-18 23:00:55:155
7.5067,-5.8528,3.5487,8.2971,-4.4896,2.6899,-0.7904,-1.3632,0.8588,-0.8357,0.4248,-0.8815,2.0,-41.5,16.35,-20.0,215.02,30.54,-72.09,3.1,960.95,41.255,43.43826,-96.68999,,1422.826814170571,,,58.722584,,2 / 20,7507,2018-06-18 23:00:55:655
7.4847,-5.275,3.0662,8.2467,-4.7266,2.4265,-0.7619,-0.5485,0.6398,-0.5023,0.967,0.2812,2.0,-42.2,13.3,-19.2,211.0,28.8,-73.6,3.1,960.91,42.126,43.43826,-96.68999,,1422.826814170571,,,58.722584,,2 / 20,8010,2018-06-18 23:00:56:158
7.5882,-6.2911,5.5178,6.8655,-3.2857,6.189,0.1968,-3.1851,-0.6056,1.167,1.0831,-0.5001,1.0,-36.75,12.75,-25.45,112.43,19.57,-47.97,3.1,960.9,42.81,43.43826,-96.68999,,1422.826814170571,,,58.722584,,4 / 20,8531,2018-06-18 23:00:56:679
4.3757,-0.339,9.0464,1.6776,-0.6226,9.6453,2.141,-0.5218,-0.5039,-0.159,1.3398,0.8314,2.0,-24.65,-3.55,-33.75,106.14,-0.32,-18.31,3.1,960.86,43.152,43.43826,-96.68999,,1422.826814170571,,,58.722584,,4 / 20,9008,2018-06-18 23:00:57:156
-0.8731,1.0101,9.4118,-0.7784,-0.2635,9.7754,-0.0948,1.2736,-0.3636,0.7507,0.8272,0.7981,3.0,-8.8,-7.25,-38.8,123.62,1.54,4.55,3.1,961.0,53.03,43.43826,-96.68999,,1422.826814170571,,,58.722584,,6 / 20,9506,2018-06-18 23:00:57:654
-3.109,-0.513,9.0779,-2.5517,-0.557,9.4558,0.0681,-0.7931,0.5591,0.2008,0.5361,-0.3334,5.0,2.5,-8.4,-38.8,144.46,3.25,15.1,3.1,960.9,45.635,43.43826,-96.68999,,1422.826814170571,,,58.722584,,6 / 20,10008,2018-06-18 23:00:58:156
-2.5107,-0.5336,9.6859,-2.6998,-0.4051,9.4225,-0.0618,-0.0742,0.3296,-0.0248,-0.004,0.0671,5.0,9.0,-7.7,-37.0,170.91,2.37,15.97,3.1,960.9,45.383,43.43826,-96.68999,,1422.826814170571,,,58.722584,,7 / 20,10507,2018-06-18 23:00:58:655
-0.3518,-1.202,10.1754,0.6273,-2.0308,9.5769,-0.9365,1.0171,0.1433,-0.2999,-1.1803,0.644,4.0,6.2,-6.3,-38.3,194.91,10.46,3.87,3.1,960.98,47.358,43.43826,-96.68999,,1422.826814170571,,,58.722584,,7 / 20,11006,2018-06-18 23:00:59:154
1.7026,-3.8223,9.2747,1.6235,-3.4151,9.0518,0.079,-0.4072,0.2229,-0.0453,-0.0722,0.0991,2.0,-7.15,-0.05,-41.95,182.03,20.37,-10.17,3.1,961.02,46.481,43.43789,-96.689926,1335.16,1422.826814170571,,0.0,229.03226,,7 / 20,11507,2018-06-18 23:00:59:655
1.7481,-3.2834,9.3367,1.6178,-3.2108,9.1273,0.1302,-0.0726,0.2094,0.0043,0.0269,0.0453,2.0,-9.9,1.45,-42.8,170.15,19.11,-10.05,3.1,960.97,46.242,43.43789,-96.689926,1335.16,1422.826814170571,,0.0,229.03226,,7 / 20,12009,2018-06-18 23:01:00:157
1.6039,-3.4163,9.2972,1.6309,-3.3319,9.0815,-0.0269,-0.0844,0.2157,-0.065,-0.013,0.0128,2.0,-9.35,-2.7,-42.15,175.29,19.86,-10.18,3.1,960.84,48.821,43.43785,-96.68991,1335.48,1422.826814170571,,0.0,187.09677,,8 / 20,12506,2018-06-18 23:01:00:654
1.7535,-3.3017,9.3509,1.6204,-3.1819,9.137,0.1331,-0.1198,0.2139,0.1515,0.0288,0.0016,2.0,-9.05,-0.75,-41.45,173.33,18.93,-10.06,3.1,960.94,46.29,43.43785,-96.68991,1335.48,1422.826814170571,,0.0,187.09677,,8 / 20,13009,2018-06-18 23:01:01:157
0.4253,-0.782,9.5238,0.375,-0.8047,9.7697,0.0503,0.0228,-0.2459,0.3039,0.3907,-0.8195,2.0,-1.2,-13.25,-39.65,181.89,4.71,-2.2,3.1,960.94,44.928,43.437836,-96.6899,1335.81,1422.826814170571,,0.0,167.74194,,8 / 20,13506,2018-06-18 23:01:01:654
1.8052,2.6407,12.6872,1.486,1.9708,9.4943,-1.0432,-0.1133,0.7472,1.1811,-1.2914,0.1097,10.0,5.2,-17.7,-37.35,202.7,-3.48,-2.46,3.1,960.96,45.674,43.437836,-96.6899,1335.81,1422.826814170571,,0.0,167.74194,,8 / 20,14010,2018-06-18 23:01:02:158
3.3833,3.4262,11.1,0.9595,2.683,9.387,1.5798,1.0055,1.7662,-0.3068,-2.0048,-2.954,8.0,10.8,-25.6,-31.35,219.86,-15.87,-5.84,3.1,960.9,44.532,43.43778,-96.690025,1334.19,1422.826814170571,,0.0,145.1613,,9 / 20,14507,2018-06-18 23:01:02:655
4.4399,2.4606,8.8804,3.3596,4.2398,8.1836,1.0803,-1.7792,0.6968,-0.237,-0.5206,-2.1444,18.0,6.35,-11.75,-37.7,274.57,-23.07,-23.64,3.1,960.93,47.077,43.43778,-96.690025,1334.19,1422.826814170571,,0.0,145.1613,,9 / 20,15009,2018-06-18 23:01:03:157
1.5689,1.9787,9.2569,0.2105,0.2566,9.8043,1.3584,1.7222,-0.5474,-0.8242,0.3483,1.0235,55.0,4.05,-3.55,-39.9,238.69,-1.5,-1.23,3.1,960.9,41.759,43.437763,-96.69006,1333.87,1422.826814170571,,0.0,119.35484,,10 / 20,15507,2018-06-18 23:01:03:655
2.7836,0.7582,11.0596,0.2868,1.3574,9.7114,2.4968,-0.5992,1.3482,0.4533,-0.2213,-3.481,79.0,14.5,2.2,-38.4,294.0,-7.95,-1.69,3.1,960.85,42.583,43.437763,-96.69006,1333.87,1422.826814170571,,0.0,119.35484,,10 / 20,16007,2018-06-18 23:01:04:155
0.1929,5.0393,12.3219,-0.5169,3.8798,8.9952,-2.2726,0.7707,2.388,-0.1736,0.1614,0.1513,175.0,5.55,0.5,-40.05,342.39,-22.33,1.24,3.1,960.8,42.461,43.437683,-96.69017,1332.58,1422.826814170571,,0.0,116.12903,,12 / 20,16506,2018-06-18 23:01:04:654
-0.8848,3.9325,8.2434,-0.9879,3.4107,9.1448,0.1031,0.5218,-0.9014,-0.3497,-0.7686,-0.7784,129.0,0.2,-5.6,-40.45,27.65,-20.35,6.17,3.1,960.82,41.918,43.437683,-96.69017,1332.58,1422.826814170571,,0.0,116.12903,,12 / 20,17010,2018-06-18 23:01:05:158
1.7747,2.9228,9.0596,1.7554,2.4526,9.3347,0.0193,0.4702,-0.2751,0.5342,-0.7055,-0.3172,5.0,-6.3,1.5,-38.3,2.67,-12.65,-8.25,3.1,960.86,42.88,43.437668,-96.6902,1331.61,1422.826814170571,,0.0,103.22581,,12 / 20,17507,2018-06-18 23:01:05:655
1.2309,1.5635,11.4001,0.0472,1.6313,9.6732,1.1837,-0.0678,1.727,0.0415,1.0581,0.0636,6.0,-13.35,4.7,-35.25,50.01,-9.57,-0.28,3.1,960.89,46.277,43.437668,-96.6902,1331.61,1422.826814170571,,0.0,103.22581,,12 / 20,18010,2018-06-18 23:01:06:158
-1.0168,1.7755,9.4105,-1.0471,1.7044,9.6039,0.0302,0.0711,-0.1934,-0.2911,-0.6181,-1.9524,12.0,-4.1,1.45,-35.85,47.87,-10.01,6.22,3.1,960.8,47.707,43.437847,-96.69011,1333.55,1422.826814170571,,0.0,335.4839,,13 / 20,18507,2018-06-18 23:01:06:655
0.1334,-0.9924,9.7883,-0.3506,0.7514,9.7748,1.4457,-0.9655,-0.5654,0.8748,-0.0376,0.082,3.0,-11.0,-0.95,-33.3,95.34,0.17,1.24,3.1,960.89,46.953,43.437847,-96.69011,1333.55,1421.183891267811,,0.0,335.4839,,13 / 20,19007,2018-06-18 23:01:07:155
4.0617,1.8262,9.0708,3.6397,1.7937,8.9313,0.422,0.0325,0.1395,-0.8139,-0.3297,-1.0842,2.0,-18.0,-11.3,-28.4,128.37,-10.54,-22.17,3.1,960.83,45.219,43.43791,-96.690094,1332.58,1421.183891267811,,0.0,396.7742,,13 / 20,19507,2018-06-18 23:01:07:655
5.3587,1.4732,8.577,4.3753,1.0796,8.7135,0.6417,0.9433,-0.4395,-0.069,0.4956,0.5971,13.0,-24.8,-14.9,-22.3,132.71,-6.32,-26.66,3.1,960.85,51.308,43.43791,-96.690094,1332.58,1421.183891267811,,0.0,396.7742,,13 / 20,20009,2018-06-18 23:01:08:157
2.5374,1.8273,10.3957,2.992,2.1179,9.0993,-0.92,0.1885,1.1435,-0.326,0.4629,-1.0645,18.0,-23.05,-18.6,-24.25,130.08,-12.47,-18.2,3.1,960.95,52.048,43.438152,-96.69015,1334.52,1421.183891267811,,0.0,306.45163,,13 / 20,20507,2018-06-18 23:01:08:655
2.0392,0.9061,10.442,2.0412,1.8317,9.4187,-0.4145,-1.0044,1.0814,0.22,-0.5446,-0.29,227.0,-17.55,-23.1,-26.2,142.78,-10.54,-10.06,3.1,960.86,44.585,43.438152,-96.69015,1334.52,1421.183891267811,,0.0,306.45163,,13 / 20,21007,2018-06-18 23:01:09:155
-1.7047,3.6563,6.9737,0.6998,5.4059,8.1561,-2.5541,-2.7303,-0.3278,0.6376,-0.7361,-0.5987,49.0,-7.95,-31.7,-26.1,159.03,-28.9,-4.76,3.1,960.77,43.717,43.43814,-96.69014,1335.16,1421.183891267811,,0.0,338.70966,,13 / 20,21506,2018-06-18 23:01:09:654
0.3786,4.7972,7.3916,0.9109,5.1747,8.2841,-0.5323,-0.3775,-0.8924,-0.572,-0.1981,0.4557,60.0,-2.5,-36.15,-23.15,181.64,-31.84,-6.27,3.1,960.83,43.717,43.43814,-96.69014,1335.16,1421.183891267811,,0.0,338.70966,,13 / 20,22007,2018-06-18 23:01:10:155
2.8963,3.4991,9.1758,2.58,3.9108,8.6188,0.3163,-0.4116,0.557,0.4975,-1.0578,0.1422,138.0,-0.9,-31.75,-25.6,198.61,-23.49,-16.67,3.1,960.82,42.564,43.438076,-96.690125,1338.39,1421.183891267811,,0.0,325.80646,,14 / 20,22506,2018-06-18 23:01:10:654
2.8956,4.5453,7.9557,2.8538,4.441,8.2685,0.0418,0.1043,-0.3128,-0.1244,0.0501,-0.318,185.0,-5.1,-35.7,-22.55,187.35,-26.92,-19.04,3.1,960.78,42.423,43.438076,-96.690125,1338.39,1421.183891267811,,0.0,325.80646,,14 / 20,23008,2018-06-18 23:01:11:156
3.4428,4.0438,8.6478,4.2301,2.9022,8.3616,-0.7872,1.1417,0.2862,-0.6448,-0.1257,0.9087,99.0,-4.9,-36.1,-23.95,193.1,-17.21,-26.83,3.1,960.91,45.439,43.438103,-96.690125,1334.19,1421.183891267811,,0.0,290.3226,,14 / 20,23506,2018-06-18 23:01:11:654
0.1802,0.1049,9.4519,0.6803,2.2524,9.5235,0.7218,-3.4057,0.5435,0.8855,0.6442,0.7518,113.0,-9.8,-24.65,-30.05,161.18,-9.53,-6.28,3.1,960.89,60.981,43.438103,-96.690125,1334.19,1421.183891267811,,0.0,290.3226,,14 / 20,24007,2018-06-18 23:01:12:155
1.5487,0.5422,10.2371,0.2709,1.8172,9.6364,1.2777,-1.275,0.6007,0.2309,0.11,0.0993,187.0,-10.15,-25.0,-32.5,153.93,-10.68,-1.61,3.1,960.84,40.4,43.438103,-96.690125,1334.19,1421.183891267811,,0.0,300.0,,14 / 20,24506,2018-06-18 23:01:12:654
-0.3223,2.367,9.8331,0.3621,1.8829,9.6206,-0.6844,0.4841,0.2124,0.012,-0.0027,-0.6155,177.0,-10.2,-25.5,-32.25,156.72,-10.21,-3.36,3.1,960.9,41.768,43.438103,-96.690125,1334.19,1421.183891267811,,0.0,300.0,,14 / 20,25006,2018-06-18 23:01:13:154
-0.3042,2.6106,9.9039,-0.0439,1.6885,9.6635,-0.2603,0.9221,0.2404,0.0229,-0.0511,0.2828,150.0,-7.25,-25.35,-33.75,157.37,-9.48,1.62,3.1,960.9,56.336,43.438087,-96.69011,1332.58,1421.183891267811,,0.0,225.80644,,14 / 20,25507,2018-06-18 23:01:13:655
0.8592,0.0404,8.6278,0.4949,1.3598,9.7025,0.3643,-1.3194,-1.0748,0.0714,0.3704,-0.4953,85.0,-7.7,-22.95,-35.05,160.85,-7.97,-2.92,3.1,960.91,47.897,43.438087,-96.69011,1332.58,1421.183891267811,,0.0,225.80644,,14 / 20,26007,2018-06-18 23:01:14:155
-0.4066,-0.034,11.9003,0.3994,1.5138,9.6841,-0.8059,-1.5478,2.2161,0.6557,-0.9643,1.0871,85.0,-5.85,-24.2,-36.75,157.13,-9.36,2.28,3.1,960.89,48.457,43.438072,-96.6901,1331.61,1421.183891267811,,0.0,174.19356,,14 / 20,26506,2018-06-18 23:01:14:654
0.7088,2.6175,9.8066,1.2842,1.9466,9.5287,-0.5754,0.6709,0.2778,0.1486,-0.0796,-0.1206,47.0,-13.15,-23.05,-34.8,151.81,-11.44,-7.68,3.1,960.96,44.24,43.438072,-96.6901,1331.61,1421.183891267811,,0.0,174.19356,,14 / 20,27010,2018-06-18 23:01:15:158
0.9366,-1.0902,9.6299,0.6296,-0.3892,9.782,0.307,-0.701,-0.1521,-0.7417,-0.3862,0.3654,7.0,-15.05,-18.25,-34.4,146.57,2.27,-3.68,3.1,960.89,46.387,43.438072,-96.6901,1331.61,1421.183891267811,,0.0,174.19356,,15 / 21,27507,2018-06-18 23:01:15:655
1.9933,-2.0141,9.7031,2.0982,-1.6596,9.4382,-0.1049,-0.3545,0.2649,-0.0679,-0.1664,0.1872,1.0,-16.2,-12.25,-36.2,156.97,9.74,-12.53,3.1,960.87,45.691,43.438072,-96.6901,1331.61,1421.183891267811,,0.0,174.19356,,15 / 21,28010,2018-06-18 23:01:16:158
2.2262,-1.4053,9.5979,2.328,-1.7421,9.3692,0.1726,0.1642,0.3226,0.0826,0.008,0.0197,1.0,-18.9,-9.2,-34.9,147.51,10.23,-13.95,3.1,960.94,44.265,43.43806,-96.690094,1331.29,1421.183891267811,,0.0,122.58065,,15 / 21,28507,2018-06-18 23:01:16:655
2.3964,-1.4283,9.5717,2.5968,-1.6439,9.316,-0.2503,0.0352,0.1935,-0.1675,-0.0506,-0.1771,1.0,-18.9,-9.85,-34.25,150.48,9.65,-15.58,3.1,960.88,45.374,43.43806,-96.690094,1331.29,1421.183891267811,,0.0,122.58065,,15 / 21,29010,2018-06-18 23:01:17:158
2.9635,-1.4424,9.745,2.8827,-1.2219,9.2969,0.5131,-0.536,0.3893,0.4898,0.0165,-0.2692,1.0,-21.0,-9.7,-33.5,144.88,7.16,-17.23,3.1,960.86,45.267,43.43807,-96.690094,1331.29,1421.183891267811,,0.0,106.451614,,16 / 21,29507,2018-06-18 23:01:17:655
2.2573,0.6489,9.3096,2.5721,2.1271,9.2246,0.0723,-1.6969,0.2893,0.3414,-0.2834,-1.7651,1.0,-18.85,-16.85,-32.9,142.96,-7.2,-15.9,3.1,960.93,43.999,43.43807,-96.690094,1331.29,1421.183891267811,,0.0,106.451614,,16 / 21,30007,2018-06-18 23:01:18:155
0.4221,4.0835,9.1288,2.0427,3.9723,8.734,-1.6205,0.1112,0.3947,-0.5281,0.012,-2.2293,66.0,-6.95,-32.65,-30.15,180.05,-23.89,-13.16,3.1,960.94,44.158,43.43807,-96.690094,1331.29,1421.183891267811,,0.0,106.451614,,16 / 21,30506,2018-06-18 23:01:18:654
0.4627,3.3063,9.6446,0.0142,2.6013,9.4587,0.1355,0.262,0.9682,-0.31,-0.5736,-1.4357,86.0,14.1,-23.05,-33.25,226.29,-15.38,-0.09,3.1,960.85,43.706,43.43807,-96.690094,1331.29,1421.183891267811,,0.0,106.451614,,16 / 21,31006,2018-06-18 23:01:19:154
1.084,2.044,9.1026,0.7005,1.7548,9.6262,-0.2058,-0.1313,-0.8068,0.1348,-0.0117,-0.9409,112.0,12.7,-2.1,-37.25,281.58,-8.71,-5.7,3.1,960.91,43.146,43.43807,-96.690094,1331.29,1421.183891267811,,0.0,106.451614,,16 / 21,31506,2018-06-18 23:01:19:654
0.1852,1.3405,8.2011,0.6197,2.1979,9.5404,-0.726,-1.0305,-0.8785,-0.0879,0.0011,-0.6362,98.0,8.35,2.3,-38.0,314.09,-13.14,-4.21,3.1,960.88,47.353,43.43807,-96.690094,1331.29,1421.183891267811,,0.0,106.451614,,16 / 21,32010,2018-06-18 23:01:20:158
2.0162,0.7565,10.3007,0.9134,1.3679,9.6711,1.5993,-1.259,0.1325,0.0487,-0.1939,-1.3777,21.0,1.4,5.2,-35.35,336.37,-8.02,-5.4,3.1,960.94,47.91,43.43808,-96.690094,1331.61,1421.183891267811,,0.0,74.19355,,16 / 20,32507,2018-06-18 23:01:20:655
1.0625,1.2679,10.1028,1.1339,1.2526,9.6633,0.3331,0.1343,0.0377,-0.1161,-0.2213,-0.6317,2.0,-7.95,6.0,-33.45,21.79,-7.34,-6.69,3.1,960.94,48.749,43.43808,-96.690094,1331.61,1421.183891267811,,0.0,74.19355,,16 / 20,33010,2018-06-18 23:01:21:158
0.4476,0.7688,9.7738,0.9408,0.6498,9.7431,-0.7582,0.2121,0.4018,-0.4658,0.3119,-1.5633,50.0,-16.0,5.55,-30.0,58.26,-3.8,-5.52,3.1,960.82,50.364,43.43808,-96.690094,1331.61,1421.183891267811,,0.0,74.19355,,16 / 21,33507,2018-06-18 23:01:21:655
0.2841,0.6016,10.4004,1.0724,1.0165,9.698,-0.9353,-0.2394,0.2262,0.0312,-0.1198,-1.8557,2.0,-17.25,4.0,-28.6,62.43,-5.95,-6.31,3.1,960.86,48.205,43.43808,-96.690094,1331.61,1421.183891267811,,0.0,74.19355,,16 / 21,34010,2018-06-18 23:01:22:158
0.2841,0.6016,10.4004,1.0724,1.0165,9.698,-0.9353,-0.2394,0.2262,0.0312,-0.1198,-1.8557,11.0,-17.25,4.0,-28.6,62.43,-5.95,-6.31,3.1,960.85,54.201,43.43808,-96.690094,1331.61,1421.183891267811,,0.0,74.19355,,16 / 21,34507,2018-06-18 23:01:22:655
0.2841,0.6016,10.4004,1.0724,1.0165,9.698,-0.9353,-0.2394,0.2262,0.0312,-0.1198,-1.8557,13.0,-17.25,4.0,-28.6,62.43,-5.95,-6.31,3.1,960.88,50.106,43.43808,-96.690094,1331.61,1421.183891267811,,0.0,74.19355,,16 / 21,35009,2018-06-18 23:01:23:157
0.2841,0.6016,10.4004,1.0724,1.0165,9.698,-0.9353,-0.2394,0.2262,0.0312,-0.1198,-1.8557,13.0,-17.25,4.0,-28.6,62.43,-5.95,-6.31,3.1,960.88,48.951,43.438087,-96.690094,1331.29,1421.183891267811,,0.0,54.83871,,16 / 21,35506,2018-06-18 23:01:23:654
2.1072,0.9562,10.4921,2.3545,0.6995,9.4975,-0.2473,0.2567,0.9947,0.2892,0.2906,0.5776,11.0,-18.4,1.85,-27.8,68.44,-4.09,-13.92,3.1,960.89,52.295,43.438087,-96.690094,1331.29,1421.183891267811,,0.0,54.83871,,16 / 21,36007,2018-06-18 23:01:24:155
2.1602,2.7507,8.5823,1.9391,1.7725,9.4516,0.0238,1.5382,-1.1206,0.0639,0.1912,-0.0735,0.0,-21.85,-9.1,-25.45,102.38,-10.41,-11.59,3.1,960.82,43.157,43.438107,-96.690094,1330.32,1421.183891267811,,0.0,51.612904,,16 / 21,36507,2018-06-18 23:01:24:655
-0.1025,1.268,10.7523,0.6758,1.7702,9.6251,-0.7784,-0.5022,1.1272,-0.2743,0.09,1.0567,7.0,-16.75,-8.85,-30.5,102.29,-10.4,-4.02,3.1,960.92,52.004,43.438107,-96.690094,1330.32,1421.183891267811,,0.0,51.612904,,16 / 21,37007,2018-06-18 23:01:25:155
0.8835,2.6468,11.5176,0.6986,1.0108,9.7326,0.1849,1.6359,1.785,-0.2802,-0.0799,-0.2328,10.0,-16.0,4.2,-35.85,59.77,-5.91,-4.11,3.1,960.8,39.834,43.43816,-96.69009,1327.42,1421.183891267811,,0.0,48.387096,,16 / 21,37507,2018-06-18 23:01:25:655
1.3864,1.2634,12.0242,0.1894,1.1123,9.7447,1.1971,0.151,2.2795,0.9151,0.6216,0.2695,18.0,-16.0,5.65,-36.15,56.62,-6.51,-1.11,3.1,960.89,41.028,43.43816,-96.69009,1327.42,1421.183891267811,,0.0,48.387096,,16 / 21,38007,2018-06-18 23:01:26:155
1.3864,1.2634,12.0242,0.1894,1.1123,9.7447,1.1971,0.151,2.2795,0.9151,0.6216,0.2695,23.0,-16.0,5.65,-36.15,56.62,-6.51,-1.11,3.1,960.97,48.789,43.438187,-96.69009,1325.81,1421.183891267811,,0.0,48.387096,,15 / 20,38507,2018-06-18 23:01:26:655
1.3864,1.2634,12.0242,0.1894,1.1123,9.7447,1.1971,0.151,2.2795,0.9151,0.6216,0.2695,103.0,-16.0,5.65,-36.15,56.62,-6.51,-1.11,3.1,961.0,59.715,43.438187,-96.69009,1325.81,1421.183891267811,,0.0,48.387096,,15 / 20,39006,2018-06-18 23:01:27:154
1.3864,1.2634,12.0242,0.1894,1.1123,9.7447,1.1971,0.151,2.2795,0.9151,0.6216,0.2695,106.0,-16.0,5.65,-36.15,56.62,-6.51,-1.11,3.1,960.84,62.606,43.438187,-96.69009,1325.81,1421.183891267811,,0.0,48.387096,,15 / 21,39507,2018-06-18 23:01:27:655
1.3864,1.2634,12.0242,0.1894,1.1123,9.7447,1.1971,0.151,2.2795,0.9151,0.6216,0.2695,19.0,-16.0,5.65,-36.15,56.62,-6.51,-1.11,3.1,960.92,41.55,43.438187,-96.69009,1325.81,1421.183891267811,,0.0,48.387096,,15 / 21,40007,2018-06-18 23:01:28:155
1.3864,1.2634,12.0242,0.1894,1.1123,9.7447,1.1971,0.151,2.2795,0.9151,0.6216,0.2695,6.0,-16.0,5.65,-36.15,56.62,-6.51,-1.11,3.1,960.92,55.27,43.438187,-96.69009,1325.81,1421.183891267811,,0.0,48.387096,,15 / 21,40506,2018-06-18 23:01:28:654
