ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-9.582024,-0.025597,2.434687,0.024767,-0.519849,0.008522,9.0,33.9,14.45,-25.3,961.26,50.88809,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,28710,2018-06-19 22:50:11:364
-9.494306,-0.020956,2.783312,0.031692,-0.491353,0.009587,10.0,32.9,14.65,-26.7,961.17,50.88809,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,28810,2018-06-19 22:50:11:464
-9.272318,-0.008682,3.429219,0.001598,-0.527572,0.021039,10.0,30.8,14.25,-29.3,961.2,50.71948,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,28910,2018-06-19 22:50:11:564
-9.146878,-0.001048,3.768414,0.006125,-0.50893,0.014647,11.0,29.3,15.0,-30.35,961.26,50.71948,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29009,2018-06-19 22:50:11:663
-8.867708,0.010029,4.39052,0.014381,-0.535562,0.009587,11.0,26.65,15.6,-32.25,961.26,50.71948,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29110,2018-06-19 22:50:11:764
-8.715026,0.010179,4.731062,0.003728,-0.561927,0.011718,12.0,25.4,15.65,-33.3,961.2,50.71948,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29209,2018-06-19 22:50:11:863
-8.52552,0.010329,5.054539,0.008256,-0.599478,0.013049,12.0,24.25,15.7,-33.85,961.2,51.21822,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29310,2018-06-19 22:50:11:964
-8.046667,0.023202,5.796247,-0.009854,-0.818656,0.016512,14.0,21.4,16.3,-35.35,961.17,51.21822,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29410,2018-06-19 22:50:12:064
-7.738757,0.015568,6.235583,0.005859,-0.768322,-2.66E-4,15.0,20.05,16.1,-36.15,961.11,51.21822,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29509,2018-06-19 22:50:12:163
-7.060068,0.035476,6.985524,0.035686,-0.742756,-0.025566,15.0,17.25,15.45,-37.6,961.08,53.18671,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29609,2018-06-19 22:50:12:263
-6.696325,0.022304,7.363787,0.046605,-0.518784,-0.037018,15.0,15.3,15.2,-38.55,961.08,53.18671,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29710,2018-06-19 22:50:12:364
-6.152206,0.054786,7.754774,0.063383,-0.552073,-0.026365,15.0,11.6,15.25,-39.8,961.23,53.18671,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29809,2018-06-19 22:50:12:463
-5.838309,0.108824,7.999515,0.045007,-0.851679,-0.024767,15.0,10.05,15.0,-40.2,961.17,53.18671,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,29910,2018-06-19 22:50:12:564
-4.829557,0.01901,8.733738,0.029028,-1.034904,0.010386,12.0,5.5,16.05,-40.45,961.23,55.3579,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30011,2018-06-19 22:50:12:665
-4.186195,0.102836,9.089998,0.022637,-0.357663,0.008788,14.0,3.15,16.5,-40.5,961.17,55.3579,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30109,2018-06-19 22:50:12:763
-3.839665,0.170046,9.141192,-0.005593,-0.449275,0.046339,13.0,0.85,16.45,-40.65,961.26,55.3579,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30210,2018-06-19 22:50:12:864
-3.171006,0.093855,9.495954,0.017044,-0.419714,0.001864,16.0,-3.5,17.15,-40.4,961.2,55.3579,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30309,2018-06-19 22:50:12:963
-2.821932,0.172741,9.554332,0.013316,-0.224238,-0.04048,15.0,-5.7,17.4,-39.95,961.2,49.23789,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30409,2018-06-19 22:50:13:063
-2.402354,0.214504,9.65672,0.003995,-0.390419,-0.025833,16.0,-9.6,16.95,-39.65,961.2,49.23789,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30510,2018-06-19 22:50:13:164
-2.120041,0.193548,9.68082,0.017577,-0.629305,-0.013848,19.0,-11.2,16.6,-39.75,961.2,49.23789,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30610,2018-06-19 22:50:13:264
-1.588347,0.168699,9.81015,0.017311,-0.218912,-0.018109,21.0,-13.9,16.15,-39.1,961.2,49.23789,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30710,2018-06-19 22:50:13:364
-1.303489,0.212109,9.847274,0.034621,-0.401072,-0.017044,21.0,-15.45,16.3,-38.6,961.23,48.85384,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30810,2018-06-19 22:50:13:464
-1.096769,0.238005,9.895922,0.003728,-0.297209,0.008256,36.0,-16.2,15.45,-38.3,961.23,48.85384,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,30909,2018-06-19 22:50:13:563
-0.657582,0.222437,9.924064,-0.001864,-0.224238,0.025034,40.0,-17.95,14.7,-37.65,961.2,48.85384,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31009,2018-06-19 22:50:13:663
-0.549507,0.26465,9.931398,5.33E-4,-0.249805,-0.01518,46.0,-18.75,14.9,-37.25,961.23,48.16442,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31110,2018-06-19 22:50:13:764
-0.316891,0.237257,9.923016,0.005326,-0.18722,0.005326,46.0,-20.05,13.75,-36.45,961.23,48.16442,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31209,2018-06-19 22:50:13:863
-0.214654,0.231269,9.930948,0.018109,-0.071373,-0.019175,44.0,-20.65,14.0,-35.95,961.11,48.16442,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31310,2018-06-19 22:50:13:964
-0.101788,0.310155,9.944272,0.009854,-0.036752,0.051399,44.0,-21.0,13.6,-35.95,961.29,48.16442,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31410,2018-06-19 22:50:14:064
-0.199535,0.251028,9.932446,0.018376,-0.056992,-0.034355,45.0,-21.9,13.6,-35.45,961.17,49.28035,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31509,2018-06-19 22:50:14:163
-0.135169,0.277373,9.940978,7.99E-4,-0.007989,0.009854,45.0,-22.1,13.45,-35.45,961.08,49.28035,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31610,2018-06-19 22:50:14:264
-0.112267,0.276176,9.931098,0.001332,-0.007989,0.010919,45.0,-22.8,14.25,-35.05,961.29,49.28035,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31709,2018-06-19 22:50:14:363
-0.097148,0.299228,9.93993,0.001065,-0.011452,0.006392,45.0,-23.0,14.4,-35.1,961.17,49.28035,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31810,2018-06-19 22:50:14:464
-0.074246,0.269739,9.922716,-5.33E-4,-0.008522,-0.005326,45.0,-23.1,14.6,-35.1,961.17,48.72789,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,31910,2018-06-19 22:50:14:564
-0.141456,0.321232,9.942624,-7.99E-4,-0.005859,0.011984,44.0,-23.2,14.7,-35.0,961.24,48.72789,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32010,2018-06-19 22:50:14:664
-0.097597,0.278421,9.956844,0.0,-0.007457,0.041279,44.0,-23.35,14.65,-34.9,961.17,48.72789,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32110,2018-06-19 22:50:14:764
-0.085323,0.301623,9.928404,0.003728,-0.005859,0.04554,44.0,-23.1,13.9,-35.0,961.18,49.38555,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32209,2018-06-19 22:50:14:863
-0.113015,0.276625,9.93993,0.009055,-0.007191,0.052464,45.0,-23.5,14.15,-34.75,961.21,49.38555,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32309,2018-06-19 22:50:14:963
-0.094154,0.328567,9.942924,0.131826,5.33E-4,0.029028,45.0,-23.4,13.65,-34.8,961.08,49.38555,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32410,2018-06-19 22:50:15:064
-0.095651,0.510888,9.963132,0.447145,0.005593,-0.022637,51.0,-23.4,13.65,-35.05,961.27,49.38555,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32510,2018-06-19 22:50:15:164
-0.084125,0.962648,9.912238,0.296144,0.027164,0.055127,51.0,-23.2,13.2,-35.1,961.15,57.04825,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32609,2018-06-19 22:50:15:263
-0.209564,1.028811,9.863888,0.137419,-0.003196,0.006924,50.0,-23.1,12.9,-35.25,961.27,57.04825,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32709,2018-06-19 22:50:15:363
-0.099992,1.541495,9.8347,0.296676,-0.005593,0.017311,56.0,-22.85,11.65,-35.85,961.21,57.04825,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32810,2018-06-19 22:50:15:464
-0.166005,1.744323,9.791588,0.346477,-0.029028,0.081493,66.0,-22.9,11.2,-35.95,961.24,57.04825,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,32909,2018-06-19 22:50:15:563
-0.104333,1.994003,9.768088,0.435693,-0.021838,0.07377,65.0,-23.05,10.9,-35.75,961.18,53.68589,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33009,2018-06-19 22:50:15:663
-0.050295,2.479444,9.67977,0.416252,-0.032757,0.019175,67.0,-23.15,8.95,-35.85,961.31,53.68589,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33109,2018-06-19 22:50:15:763
-0.013622,2.826722,9.600586,0.454069,-0.132625,-0.023169,72.0,-23.4,8.3,-35.95,961.21,53.68589,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33210,2018-06-19 22:50:15:864
0.150138,3.488196,9.399404,0.580036,-0.324639,-0.030094,66.0,-23.7,6.35,-36.35,961.15,53.68589,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33309,2018-06-19 22:50:15:963
0.301024,3.789071,9.09883,0.466586,-0.15473,-5.33E-4,59.0,-23.95,5.35,-36.0,961.21,56.89559,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33409,2018-06-19 22:50:16:063
0.29818,4.368216,8.883576,0.394947,0.229298,0.016512,29.0,-24.1,2.0,-36.2,961.21,56.89559,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33510,2018-06-19 22:50:16:164
0.165705,4.61655,8.882678,0.409062,0.138751,-0.011984,53.0,-24.25,0.75,-36.2,961.25,56.89559,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33609,2018-06-19 22:50:16:263
0.095352,4.916526,8.706346,0.387224,0.139283,0.010653,53.0,-24.15,-0.7,-36.15,961.19,56.89559,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33710,2018-06-19 22:50:16:364
-0.10583,5.24659,8.504564,0.362723,0.12943,0.018908,47.0,-23.8,-3.55,-36.45,961.22,51.69567,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33809,2018-06-19 22:50:16:463
-0.163011,5.519472,8.350236,0.578439,0.023702,-0.072704,50.0,-23.5,-4.6,-36.2,961.22,51.69567,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,33910,2018-06-19 22:50:16:564
-0.271236,5.971383,7.953561,0.25593,-0.29641,0.014381,59.0,-22.9,-7.15,-36.8,961.25,51.69567,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34010,2018-06-19 22:50:16:664
-0.187261,6.105654,7.780521,0.360858,0.023436,-0.033822,76.0,-22.65,-8.0,-36.75,961.22,50.55924,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34109,2018-06-19 22:50:16:763
-0.197888,6.651418,7.503297,0.256196,0.148604,-0.019441,79.0,-22.35,-10.15,-36.15,961.22,50.55924,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34209,2018-06-19 22:50:16:863
-0.21181,6.768326,7.410789,0.263653,0.336624,-0.057791,86.0,-22.2,-11.25,-35.6,961.25,50.55924,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34310,2018-06-19 22:50:16:964
-0.384999,6.781648,7.223678,0.539024,-0.072971,-0.056992,88.0,-21.9,-12.45,-35.1,961.28,50.55924,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34410,2018-06-19 22:50:17:064
-0.727337,7.275172,6.880892,0.419714,-0.123571,0.03542,199.0,-21.25,-15.0,-34.6,961.16,56.70285,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34509,2018-06-19 22:50:17:163
-0.571661,7.49237,6.501131,0.472178,-0.081226,0.031958,179.0,-20.9,-16.25,-34.2,961.19,56.70285,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34612,2018-06-19 22:50:17:266
-0.536634,7.85761,5.954318,0.597347,0.080427,0.018376,126.0,-20.25,-18.35,-33.35,961.16,56.70285,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34710,2018-06-19 22:50:17:364
-0.599054,8.118219,5.672454,0.630637,0.110788,-0.015446,45.0,-20.0,-19.7,-33.05,961.19,56.31461,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34810,2018-06-19 22:50:17:464
-0.679587,8.433762,5.344786,0.676709,0.096939,-0.099336,15.0,-19.8,-21.1,-32.85,961.16,56.31461,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,34910,2018-06-19 22:50:17:564
-0.678988,8.792716,4.743336,0.537959,0.153398,0.034088,15.0,-19.3,-23.9,-31.7,961.19,56.31461,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35010,2018-06-19 22:50:17:664
-0.722398,8.77625,4.294121,0.384294,0.054861,0.19734,13.0,-19.05,-25.1,-30.85,961.19,56.31461,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35109,2018-06-19 22:50:17:763
-0.645607,9.110954,3.899242,0.340086,0.04554,0.166714,13.0,-18.4,-27.4,-28.95,961.22,45.95055,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35209,2018-06-19 22:50:17:863
-0.611478,9.469758,3.83263,0.412257,-0.086819,0.173372,11.0,-18.3,-28.8,-28.6,961.1,45.95055,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35309,2018-06-19 22:50:17:963
-0.438289,9.46392,3.293152,0.252468,-0.150735,0.217048,11.0,-18.05,-30.35,-26.7,961.19,45.95055,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35410,2018-06-19 22:50:18:064
-0.315544,9.391172,2.966082,0.358195,0.030094,0.175769,11.0,-17.95,-30.95,-25.75,961.19,45.95055,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35511,2018-06-19 22:50:18:165
-0.105531,9.477242,2.711611,0.193878,0.019175,0.125701,11.0,-18.5,-31.85,-24.4,961.25,47.13289,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35610,2018-06-19 22:50:18:264
0.059426,9.741892,2.699936,0.392017,0.054328,0.056459,11.0,-19.0,-32.25,-23.85,961.25,47.13289,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35710,2018-06-19 22:50:18:364
0.017065,9.741592,2.376309,0.581368,0.073237,0.126766,11.0,-19.25,-32.75,-23.1,961.23,47.13289,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35810,2018-06-19 22:50:18:464
0.171693,9.783356,1.677711,0.198938,-0.004527,-0.002397,9.0,-19.8,-33.6,-21.55,961.2,47.13289,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,35910,2018-06-19 22:50:18:564
0.099543,9.82437,1.566942,0.2783,0.011185,-0.025833,10.0,-19.95,-34.0,-21.0,961.23,51.85146,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36009,2018-06-19 22:50:18:663
0.022304,9.880504,1.269061,0.314786,-0.12943,-0.012251,9.0,-20.25,-35.15,-19.4,961.23,51.85146,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36110,2018-06-19 22:50:18:764
-1.5E-4,9.91643,1.032253,0.200802,-0.097472,0.040214,10.0,-20.45,-35.6,-18.8,961.26,51.85146,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36211,2018-06-19 22:50:18:865
0.016316,9.87751,0.664019,0.251136,-0.013049,0.071905,9.0,-20.55,-36.25,-17.25,961.26,53.16771,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36309,2018-06-19 22:50:18:963
-0.013023,9.92601,0.532143,0.17497,-0.025833,0.021305,9.0,-20.5,-36.75,-16.55,961.23,53.16771,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36410,2018-06-19 22:50:19:064
0.090262,9.910292,0.31734,0.175769,0.025566,0.019175,9.0,-20.35,-37.25,-15.85,961.29,53.16771,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36509,2018-06-19 22:50:19:163
0.145947,10.041718,0.175585,0.157659,0.082558,0.02317,8.0,-20.55,-37.8,-14.5,961.2,53.16771,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36610,2018-06-19 22:50:19:264
0.102836,9.929152,0.003742,0.199471,0.046073,0.048203,8.0,-20.3,-37.9,-14.05,961.23,50.03627,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36709,2018-06-19 22:50:19:363
0.195044,9.851016,-0.272583,0.178165,-0.010386,0.021838,9.0,-20.25,-38.45,-12.85,961.17,50.03627,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36810,2018-06-19 22:50:19:464
0.18771,9.965378,-0.350122,0.141414,-0.003196,0.026099,9.0,-20.0,-38.8,-12.5,961.2,50.03627,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,36909,2018-06-19 22:50:19:563
0.174986,9.940828,-0.615071,0.136354,-0.020506,0.067644,8.0,-20.45,-38.3,-11.55,961.26,50.03627,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37011,2018-06-19 22:50:19:665
0.253124,9.883648,-0.729433,0.197873,-0.044741,0.074569,7.0,-20.4,-38.45,-11.3,961.2,48.45145,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37110,2018-06-19 22:50:19:764
0.264051,9.840686,-0.794099,0.112652,-0.018376,-0.01012,7.0,-20.55,-38.55,-10.75,961.2,48.45145,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37210,2018-06-19 22:50:19:864
0.279918,9.86778,-0.936153,0.067378,0.008788,-0.013316,8.0,-21.05,-38.65,-9.75,961.17,48.45145,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37310,2018-06-19 22:50:19:964
0.273481,9.840836,-0.983006,0.216515,-0.048203,-0.071106,8.0,-21.2,-38.45,-9.25,961.26,48.45145,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37413,2018-06-19 22:50:20:067
0.163759,9.85371,-1.230741,0.165649,-0.08602,0.006392,8.0,-21.25,-38.75,-8.1,961.23,51.98923,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37510,2018-06-19 22:50:20:164
0.152982,9.864636,-1.401985,0.168045,-0.09401,0.042611,7.0,-21.05,-39.3,-7.7,961.23,51.98923,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37610,2018-06-19 22:50:20:264
0.190254,9.710756,-1.533711,0.121706,-0.115315,-0.004794,7.0,-20.85,-39.3,-6.4,961.08,51.98923,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37711,2018-06-19 22:50:20:365
0.253872,9.72872,-1.614542,0.108391,-0.135289,0.017044,6.0,-20.85,-39.35,-5.85,961.08,49.63802,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37810,2018-06-19 22:50:20:464
0.180674,9.760604,-1.717229,0.124103,-0.123038,0.009055,6.0,-20.9,-39.35,-5.3,961.23,49.63802,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,37910,2018-06-19 22:50:20:564
0.130678,9.710756,-1.85629,0.051133,-7.99E-4,0.011185,6.0,-20.95,-39.75,-4.85,961.23,49.63802,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38010,2018-06-19 22:50:20:664
0.135468,9.696686,-1.876348,0.06578,0.015446,-0.025566,6.0,-20.85,-39.55,-4.65,961.2,49.63802,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38110,2018-06-19 22:50:20:764
0.087568,9.702972,-1.966461,-0.007723,-0.029827,0.023436,6.0,-20.9,-39.5,-4.05,961.27,53.00223,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38211,2018-06-19 22:50:20:865
0.108824,9.7386,-2.010619,-0.022903,-0.032757,0.04847,6.0,-21.0,-39.55,-4.15,961.17,53.00223,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38309,2018-06-19 22:50:20:963
0.149539,9.657468,-1.914668,-0.06578,-0.00506,-0.020506,6.0,-21.05,-39.8,-4.15,961.2,53.00223,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38410,2018-06-19 22:50:21:064
0.089214,9.662856,-1.841471,-0.114782,-0.031958,-0.003995,6.0,-20.9,-39.85,-3.95,961.27,53.00223,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38511,2018-06-19 22:50:21:165
0.046254,9.673334,-1.796265,-0.118244,0.035154,-0.058323,7.0,-20.75,-40.15,-3.95,961.23,46.14249,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38612,2018-06-19 22:50:21:266
0.064666,9.9061,-1.65421,-0.080161,-0.049002,0.036219,6.0,-20.75,-40.2,-4.1,961.2,46.14249,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38710,2018-06-19 22:50:21:364
0.055085,9.754766,-1.617836,-0.084689,-0.017843,0.013316,7.0,-20.85,-40.2,-4.25,961.2,46.14249,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38810,2018-06-19 22:50:21:464
0.066162,9.807306,-1.518742,0.065514,0.041812,0.014914,7.0,-20.85,-39.6,-4.35,961.06,46.01192,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,38909,2018-06-19 22:50:21:563
0.073048,9.743238,-1.578917,0.221042,0.103863,-0.027164,7.0,-20.9,-39.6,-4.45,961.33,46.01192,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39010,2018-06-19 22:50:21:664
0.078736,9.706716,-1.789379,0.218113,-0.110521,0.055394,6.0,-20.95,-39.55,-4.4,961.3,46.01192,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39110,2018-06-19 22:50:21:764
0.106578,9.640404,-1.962569,0.135555,0.011452,0.079362,6.0,-20.9,-39.5,-4.45,961.3,46.01192,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39211,2018-06-19 22:50:21:865
0.18771,9.750276,-2.047742,0.243946,-0.041545,0.049268,5.0,-21.1,-39.3,-4.1,961.2,46.01192,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39309,2018-06-19 22:50:21:963
0.150886,9.594,-2.332599,0.292948,-0.11425,-0.031425,5.0,-21.1,-39.75,-3.8,961.11,53.63762,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39409,2018-06-19 22:50:22:063
0.098795,9.573792,-2.574945,0.250603,-0.143012,0.019175,1.0,-20.9,-40.1,-3.15,961.24,53.63762,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39510,2018-06-19 22:50:22:164
0.181123,9.29597,-3.107687,0.25806,0.036219,0.064449,5.0,-20.8,-40.1,-2.05,961.24,53.63762,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39610,2018-06-19 22:50:22:264
0.087418,9.264834,-3.184777,0.285757,0.029028,-0.009587,5.0,-20.7,-40.2,-1.45,961.21,51.41118,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39709,2018-06-19 22:50:22:363
0.13472,9.296718,-3.486699,0.140615,0.037284,-0.001065,5.0,-20.6,-40.45,0.05,961.24,51.41118,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39809,2018-06-19 22:50:22:463
0.042212,9.12278,-3.513643,0.133957,-0.048736,-0.027697,5.0,-20.75,-40.05,0.9,961.27,51.41118,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,39909,2018-06-19 22:50:22:563
-0.029788,9.197624,-3.738176,0.169377,-0.143278,-0.049801,5.0,-20.5,-39.8,2.3,961.27,45.51671,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,40041,2018-06-19 22:50:22:695
-0.116308,9.071886,-3.88562,0.121174,0.001065,-0.067112,5.0,-20.4,-39.55,3.0,961.24,45.51671,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,40110,2018-06-19 22:50:22:764
-0.180076,9.027278,-3.887117,0.05566,0.009321,-0.041279,5.0,-20.2,-39.55,3.5,961.27,45.51671,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,40209,2018-06-19 22:50:22:863
-0.234562,9.007968,-4.01046,0.131028,-0.021039,-0.061785,5.0,-20.15,-39.55,4.35,961.3,45.51671,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,40309,2018-06-19 22:50:22:963
-0.261207,8.957672,-4.140989,0.092678,-0.010919,0.015979,0.0,-19.95,-39.6,4.6,961.27,46.03409,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,40410,2018-06-19 22:50:23:064
-0.230521,8.943452,-4.199367,0.074835,0.099869,0.008788,0.0,-19.55,-40.05,5.15,961.24,46.03409,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,40510,2018-06-19 22:50:23:164
-0.168999,8.947794,-4.205205,0.094542,0.065514,0.002929,0.0,-19.65,-40.05,5.45,961.24,46.03409,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,40609,2018-06-19 22:50:23:263
-0.17783,8.856034,-4.256698,0.067644,0.020773,-0.002397,0.0,-19.65,-40.4,5.55,961.27,46.03409,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,1 / 19,40709,2018-06-19 22:50:23:363
